Gene	GSM1304836	GSM1304837	GSM1304838	GSM1304839	GSM1304840	GSM1304841	GSM1304842	GSM1304843	GSM1304844	GSM1304845	GSM1304846	GSM1304847	GSM1304848	GSM1304849	GSM1304850	GSM1304851
Dhrs1	1578.91	1892.91	1756.38	1793.84	1569.83	1818.68	1939.52	1813.39	1371.58	2011.55	1951.53	1735.63	1201.86	1424.5	1215.39	1307.9
Mrpl43	2331.78	2574.17	2813.19	2536.45	2516.48	2578.78	2788.01	2602.79	2226.93	2418.45	2304.43	2222.52	1999.67	2236.16	2218.54	2342.12
Atg5	1183.02	1183.491	1227.243	1234.669	1050.96725	907.0105	930.37425	929.28225	1229.8575	1531.4525	1428.19	1390.27	1029.312	1309.9025	1294.88125	1307.37
Mrpl27	1788.962	2381.4355	2526.182	2260.0125	2879.1495	2725.7925	2753.8745	2652.4995	2393.233	3130.089	3745.003	3140.6575	2807.4845	3138.8125	3020.312	3153.375
Dlg1	372.57779	332.1343775	306.627925	309.10935	259.344515	259.83135	267.30281	254.0543	247.4878975	285.836537	256.2680975	276.969825	213.30175	269.0059475	253.95503	260.411425
Psma1	1150.3721	1122.435175	1185.4415375	1180.9821625	1459.255275	1401.337325	1542.618375	1549.840625	1364.535075	1410.7511375	1604.66275	1558.88365	1494.5779375	1622.7718125	1737.20775	1515.399075
Cox18	578.824	534.063	500.872	358.701	639.083	719.472	663.812	561.647	960.594	1042.71	1078.49	1098.99	650.471	634.74	683.643	851.861
Gm8069 	3050.64	3039.07	3120.98	3449.54	2645.07	2869.5	2422.8	2969.06	2337.34	3110.72	2810.44	2759.88	2001.73	3111.02	3275.68	3562.45
Rfk	1108.474	1022.51775	954.0545	974.32425	790.67675	693.51125	727.824	680.06925	750.61275	802.938	732.75425	721.32625	684.719	659.993	741.52625	717.287
Mrpl52	2080.406375	1453.423375	1618.261725	1552.31575	1462.691675	1567.601925	1711.1328	1553.697875	3350.50305	3345.618825	3446.35285	3146.28955	2482.655025	2237.176675	2086.973575	2111.878775
Itch	360.509575	345.24525	361.206225	345.227375	321.141875	326.9778	367.7446	333.01055	222.819075	223.0850125	232.6681	242.587175	233.0022375	248.9467	245.5975125	235.416425
Aldh3a2	866.201	1103.3	1080.4	1038.78	748.876	798.18	844.822	868.978	777.584	883.274	934.254	716.861	897.829	773.465	822.209	779.934
Gja1	118.138020313	272.277796875	88.2854340625	107.609372187	106.240009375	101.05000625	48.565496875	59.429486875	376.2357375	159.785475	76.727443125	103.055934375	455.909353125	143.094771875	90.569183125	84.1687875
Cx3cl1	21.03597	8.34292	34.77155	36.3692625	10.9316575	16.654085	19.4549475	19.2087	21.3623775	23.63459	25.7004175	18.93001	25.8506025	30.0700575	21.9966115	21.3619
Trim27	1110.83827187	857.53641875	911.9508075	925.13793125	1075.74055094	1079.82830219	1165.08050063	1039.36640937	741.7800925	833.076880937	935.49511875	913.522170625	621.788641563	683.217246875	739.384370938	685.08694375
Aldh18a1	131.114575	90.7321375	87.16125	68.8739875	122.18393125	108.11481875	106.36398125	107.58560625	88.365675	104.70580625	86.105925	109.70959375	73.83855625	60.357075	47.48730625	60.0743475
Trim28	2512.075	2426.76	2537.465	2402.315	2164.17	2206.415	2068.045	2171.49	1900.0	2046.79	1788.17	1883.11	1622.23	1584.835	1587.105	1648.34
Ghitm	6821.995	5123.95	4912.06	5105.945	6010.535	5701.215	5299.56	5296.82	9378.145	8398.235	8618.195	8013.375	10756.53	9566.355	10081.1	9286.38
Suclg1	2869.68	3489.73	3501.43	3496.57	3377.75	3706.36	3620.97	3807.64	2661.64	3501.77	3179.47	3286.19	2808.58	2909.63	3640.78	3542.55
Enpp2	15.6345525	121.7146	18.8839925	64.44029	24.1170825	80.99975	29.4528775	32.06205	28.735925	66.1722475	31.297215	44.074235	128.552475	68.8612575	40.592225	27.362855
Mgst1	6938.92955	9451.225495	10398.44695	12008.495755	8862.59865	8590.09245	8604.460065	10096.4937	4819.92455	10680.13951	10432.391955	10820.47958	6881.742885	13576.7558	14321.7203	14719.04415
Ciapin1	279.403325	380.645325	291.14525	403.74105	236.8150375	398.171725	366.134925	309.9204725	461.53725	464.2481	428.73585	453.70395	396.36125	510.221525	530.30435	572.02325
Cox5a	22015.65	17380.3	17250.35	18076.8	24505.85	22652.1	21186.25	22892.45	23115.8	22399.0	24101.2	24322.25	24940.2	23753.35	23786.1	24235.75
Pdcd6ip	966.2455	978.78725	939.23775	860.0689375	917.6631875	913.8630625	979.0895	810.5315625	1062.5704375	843.2045625	852.4389875	875.820875	1049.5721875	871.599375	874.326375	934.24075
Pebp1	7555.185	9060.53	8739.67	8853.795	5924.24	6887.92	6213.47	6678.25	3184.55	6916.865	5517.355	6475.69	2666.375	5752.615	5823.205	6462.755
Ndufv1	2186.535	2377.1725	2584.5325	2692.065	2530.7525	3199.19	3197.7275	3131.8025	1668.365	2857.4575	2605.0575	2580.4	1600.1375	2095.535	2126.0825	1958.675
Cox6c	11994.5	11378.01	11093.795	11689.3	15088.95	14167.9	14443.6	14626.95	11799.95	11034.65	11760.85	12694.15	11505.85	13067.1	13839.5	12771.45
