"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"ILMN_1218240"	"3.77e-08"	"4.52e-12"	"52.8806417"	"17.481228"	"9.09915909"	"Cd69"	"CD69 antigen"
"ILMN_2725927"	"3.77e-08"	"4.72e-12"	"52.6026657"	"17.45172"	"8.02027077"	""	""
"ILMN_1245200"	"4.43e-08"	"8.64e-12"	"49.0085921"	"17.043313"	"7.96679814"	"Ifi205"	"interferon activated gene 205"
"ILMN_2737713"	"4.43e-08"	"1.22e-11"	"47.0734061"	"16.800882"	"7.19461739"	"Edn1"	"endothelin 1"
"ILMN_1216972"	"4.43e-08"	"1.98e-11"	"44.468999"	"16.446482"	"6.78115335"	"Clec4e"	"C-type lectin domain family 4, member e"
"ILMN_2502136"	"4.43e-08"	"2.28e-11"	"43.7467305"	"16.341997"	"7.60718408"	"Cd40"	"CD40 antigen"
"ILMN_2707870"	"4.43e-08"	"2.28e-11"	"43.7397072"	"16.340967"	"7.43976609"	"Mx1"	"MX dynamin-like GTPase 1"
"ILMN_2777498"	"4.43e-08"	"2.64e-11"	"42.9933149"	"16.229947"	"8.59607717"	"Il1b"	"interleukin 1 beta"
"ILMN_2618176"	"4.43e-08"	"3.02e-11"	"42.3249993"	"16.127849"	"7.54355507"	"Socs3"	"suppressor of cytokine signaling 3"
"ILMN_1215862"	"4.43e-08"	"3.34e-11"	"41.8268425"	"16.050038"	"8.05317994"	"Cxcl9"	"chemokine (C-X-C motif) ligand 9"
"ILMN_2965903"	"4.43e-08"	"3.67e-11"	"41.3665299"	"15.976808"	"6.62044047"	"Hdc"	"histidine decarboxylase"
"ILMN_2742861"	"4.43e-08"	"3.82e-11"	"41.1778674"	"15.946418"	"6.53415233"	""	""
"ILMN_2759484"	"4.43e-08"	"3.89e-11"	"41.0817031"	"15.930842"	"6.1843774"	"C3"	"complement component 3"
"ILMN_1227018"	"4.43e-08"	"4.60e-11"	"40.279868"	"15.798688"	"6.59494545"	"Il1a"	"interleukin 1 alpha"
"ILMN_1231814"	"4.43e-08"	"4.70e-11"	"40.1865616"	"15.783041"	"8.12561949"	"Ccl5"	"chemokine (C-C motif) ligand 5"
"ILMN_1249864"	"4.43e-08"	"4.92e-11"	"39.9700635"	"15.746515"	"6.72464656"	"Fam26f"	"family with sequence similarity 26, member F"
"ILMN_3115796"	"4.43e-08"	"5.14e-11"	"39.7666734"	"15.711917"	"7.04462412"	"Cd40"	"CD40 antigen"
"ILMN_1215209"	"4.43e-08"	"5.20e-11"	"39.7097695"	"15.702188"	"6.04311144"	"Clec4e"	"C-type lectin domain family 4, member e"
"ILMN_2630045"	"4.43e-08"	"5.38e-11"	"39.5499915"	"15.674754"	"5.90320665"	"Il27"	"interleukin 27"
"ILMN_2918002"	"4.43e-08"	"5.82e-11"	"39.190902"	"15.612465"	"6.82753024"	"Gbp3"	"guanylate binding protein 3"
"ILMN_1244866"	"4.43e-08"	"5.82e-11"	"39.1842403"	"15.611301"	"7.61902501"	"Gbp5"	"guanylate binding protein 5"
